normalized_name,description,category,price_usd,cash_price_usd,online_price_usd,pdf_price_usd,excel_codes,pdf_codes,sources
betterbuy 400g,BetterBuy 400g,016 - STARCH,0.525,0.5,0.525,,BTBUY,,excel
betterbuy macaroni 3kg,BetterBuy Macaroni 3kg,016 - STARCH,4.2,4.0,4.2,,BETT,,excel
betterbuy rollermeal 10kg,BetterBuy RollerMeal 10kg,016 - STARCH,,,0.0,,BET,,excel
betterbuy spagetti,BetterBuy Spagetti,016 - STARCH,0.525,0.5,0.525,,BETTR,,excel
beverly hills perfume,Beverly Hills Perfume,005 - COSMETICS,2.625,2.5,2.625,,BEVP,,excel
beverlyhills roll on,BeverlyHills Roll on,005 - COSMETICS,,,0.0,,BEV,,excel
bickies,Bickies,012 - SNACK,0.42000000000000004,0.4,0.42000000000000004,,BIC,,excel
bigben bar,BigBen bar,004 - CLEANING PRODUCTS,1.575,1.5,1.575,,BIG,,excel
bisto gravy 125g,Bisto Gravy 125g,013 - SOUPS,1.05,1.0,1.05,,BST,,excel
bisto gravy 250g,Bisto Gravy 250g,013 - SOUPS,,,0.0,,BSTO,,excel
black chick small 125ml,Black Chick  Small 125ml,005 - COSMETICS,1.05,1.0,1.05,,BCS,,excel
blackchic big 250ml,BlackChic Big 250ml,005 - COSMETICS,,,0.0,,BLC,,excel
bliss 200g,Bliss - 200g,012 - SNACK,0.42000000000000004,0.4,0.42000000000000004,,BLS01,,excel
blue band,Blue Band,015 - SPREADS,1.05,1.0,1.05,,BLUE,,excel
bodi doc,Bodi doc,005 - COSMETICS,3.15,3.0,3.15,,BOD,,excel
bodi doc tissue oil,Bodi doc Tissue Oil,005 - COSMETICS,3.15,3.0,3.15,,BODD,,excel
bokomo cornflakes,Bokomo CornFlakes,003 - CEREALS,3.675,3.5,3.675,,BOKO,,excel
bonaqua,Bonaqua,002 - BEVERAGES,0.34650000000000003,0.33,0.34650000000000003,,BON,,excel
bonaqua case,Bonaqua Case,002 - BEVERAGES,,,0.0,,BONA,,excel
boom 1kg,Boom - 1KG,004 - CLEANING PRODUCTS,2.1,2.0,2.1,,BOMW,,excel
boom 150g,Boom 150g,004 - CLEANING PRODUCTS,0.525,0.5,0.525,,BOMM,,excel
boom 2kg,Boom 2kg,004 - CLEANING PRODUCTS,4.2,4.0,4.2,,MEGFLR,,excel
boom bleach 750ml,Boom Bleach 750ml,004 - CLEANING PRODUCTS,1.8900000000000001,1.8,1.8900000000000001,,BOOMB,,excel
boom fabric conditioner 2ltr,Boom Fabric Conditioner 2ltr,005 - COSMETICS,,,0.0,,BOMO,,excel
boom force cream 750ml,Boom Force Cream 750ml,004 - CLEANING PRODUCTS,1.575,1.5,1.575,,BOMFC,,excel
boom force scouring,Boom Force Scouring,004 - CLEANING PRODUCTS,1.05,1.0,1.05,,BOOMF,,excel
boom paste,Boom Paste,004 - CLEANING PRODUCTS,0.525,0.5,0.525,,BOM,,excel
