sheet,category,code,description,cash_price_usd,online_price_usd
12 Sept BC,002 - BEVERAGES,FRT,Flava Burst 5L,2.0,2.1
12 Sept BC,002 - BEVERAGES,FRU,Fruitade,1.5,1.575
12 Sept BC,002 - BEVERAGES,FRUG,Frugo 300mls,,0.0
12 Sept BC,002 - BEVERAGES,FRUI,Frutesca 430mls,1.0,1.05
12 Sept BC,002 - BEVERAGES,FRUT,Fruitade Guava,,0.0
12 Sept BC,002 - BEVERAGES,FRUTC,Fruitcana,0.5,0.525
12 Sept BC,002 - BEVERAGES,FUN,Fun 'n Fresh,1.3,1.365
12 Sept BC,002 - BEVERAGES,GINZNG,Ginger Zinga,,0.0
12 Sept BC,002 - BEVERAGES,HNY,HoneyPot,,0.0
12 Sept BC,002 - BEVERAGES,HNYPOT,Honey Pot - Mahewu,,0.0
12 Sept BC,002 - BEVERAGES,JICP,JuicyPlus Crush 5L,,0.0
12 Sept BC,002 - BEVERAGES,JUC,Juice it 250ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,JUIPC,Juicyplus 5L,,0.0
12 Sept BC,002 - BEVERAGES,KAMB,Kambucha No.3,1.0,1.05
12 Sept BC,002 - BEVERAGES,KAMBU,Kambucha,,0.0
12 Sept BC,002 - BEVERAGES,KEF,Kefalos Dairy/Juice 200ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,KEFALOS,Milkit/ Juice Box,12.0,12.6
12 Sept BC,002 - BEVERAGES,LIQ,Liqui/Ceres Fruit Juice,2.0,2.1
12 Sept BC,002 - BEVERAGES,MAM,Mammoth Energy Drink,,0.0
12 Sept BC,002 - BEVERAGES,MAZ,Mazoe Orange 2L,4.0,4.2
12 Sept BC,002 - BEVERAGES,MAZB,Mazoe Blackberry 2L,3.5,3.675
12 Sept BC,002 - BEVERAGES,MAZW,Mazoe Mix,3.0,3.15
12 Sept BC,002 - BEVERAGES,MIK,Milkit Milkshake 100ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,MILKB01,Milkit - Big,,0.0
12 Sept BC,002 - BEVERAGES,MIN,Minute Maid Original 400ml,1.0,1.05
12 Sept BC,002 - BEVERAGES,MINU,Minute Maid Refresh,0.5,0.525
12 Sept BC,002 - BEVERAGES,MONTY,Baked Beand Montys,1.0,1.05
12 Sept BC,002 - BEVERAGES,MOY,Mooyo Maheu,,0.0
12 Sept BC,002 - BEVERAGES,NATU,Natural Joy - 1litre,1.0,1.05
12 Sept BC,002 - BEVERAGES,ORAN,Oran Crush 5L,3.8,3.9899999999999998
12 Sept BC,002 - BEVERAGES,PEAR,Pearlenta Porridge 1kg,1.5,1.575
12 Sept BC,002 - BEVERAGES,PEP,Peps Case,9.0,9.45
12 Sept BC,002 - BEVERAGES,PEPM,PEPS 1L,0.5,0.525
12 Sept BC,002 - BEVERAGES,PEPS,Peps 500ml,0.33,0.34650000000000003
12 Sept BC,002 - BEVERAGES,PFK,Pfuko Traditional 500ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,PFKBT,Pfuko Buttermilk - 500ml,0.6,0.63
12 Sept BC,002 - BEVERAGES,PFKO,Pfuko case,6.0,6.3
12 Sept BC,002 - BEVERAGES,PUREJ,PureJoy Juice,2.0,2.1
12 Sept BC,002 - BEVERAGES,PWR,PowerPlus,2.0,2.1
12 Sept BC,002 - BEVERAGES,QUEN,Quench,3.5,3.675
12 Sept BC,002 - BEVERAGES,RED,RedBull,1.2,1.26
12 Sept BC,002 - BEVERAGES,REV,Revive juice 500ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,REVI,Revive Maheu 500ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,REVJ,Revive Juice 1L,1.0,1.05
12 Sept BC,002 - BEVERAGES,REVM,Revive Maheu 1L,1.0,1.05
12 Sept BC,002 - BEVERAGES,RHD,Rhodes Juice,0.5,0.525
12 Sept BC,002 - BEVERAGES,SQU,Squish Squash Crush 2L,,0.0
12 Sept BC,002 - BEVERAGES,SQUI,Squish Squash Appl/Ras,,0.0
12 Sept BC,002 - BEVERAGES,STG,Sting 500ml,0.5,0.525
12 Sept BC,002 - BEVERAGES,SUP,SuperSip 500ml,,0.0
12 Sept BC,002 - BEVERAGES,SUPD,SuperDay 5L,,0.0
12 Sept BC,002 - BEVERAGES,SWT,Switch,1.0,1.05
12 Sept BC,002 - BEVERAGES,UFRS,Ufresh Maheu,,0.0
12 Sept BC,002 - BEVERAGES,UFSH,Ufresh Drink,,0.0
12 Sept BC,002 - BEVERAGES,VIC,Victoria Juice,2.0,2.1
12 Sept BC,002 - BEVERAGES,WILDC01,Wild Cat - 500ml,0.5,0.525
12 Sept BC,003 - CEREALS,BOKO,Bokomo CornFlakes,3.5,3.675
12 Sept BC,003 - CEREALS,CER,Cerelac 250g,2.5,2.625
12 Sept BC,003 - CEREALS,CERE,Cerelac 500ml,5.0,5.25
12 Sept BC,003 - CEREALS,CEREV,Cerevita 500g,3.0,3.15
12 Sept BC,003 - CEREALS,CEREVM,Cerevita Milk 500G,4.0,4.2
12 Sept BC,003 - CEREALS,CERV,Cerevita Sour,2.5,2.625
12 Sept BC,003 - CEREALS,CON,Cornflakes Kellogs 500g,3.0,3.15
12 Sept BC,003 - CEREALS,COR,CornFlakes Mamas,,0.0
12 Sept BC,003 - CEREALS,CORN,CornFLakes Willards,2.2,2.31
12 Sept BC,003 - CEREALS,CORNBG,Cornflakes Bigtree - 1kg,4.0,4.2
12 Sept BC,003 - CEREALS,CORNBG02,Cornflakes Bigtree - 500g,2.3,2.415
12 Sept BC,003 - CEREALS,CORNFBG,Cornflakes Bigtree - 750g,3.2,3.3600000000000003
12 Sept BC,003 - CEREALS,GRW,Grown ups,2.0,2.1
12 Sept BC,003 - CEREALS,KELCORNF,Cornflakes Kellogs - 1kg,4.5,4.725
12 Sept BC,003 - CEREALS,MUE,Muesli,3.5,3.675
12 Sept BC,003 - CEREALS,OAT,Oats,3.0,3.15
12 Sept BC,003 - CEREALS,SUN,Sunny Porridge,1.5,1.575
12 Sept BC,003 - CEREALS,WETBX,Weetbix - 450g,2.2,2.31
